,city,lat,lng,country,iso2
0,Delhi,28.61,77.23,India,IN
1,Mumbai,19.0761,72.8775,India,IN
2,Kolkata,22.5675,88.37,India,IN
3,Bangalore,12.9789,77.5917,India,IN
4,Chennai,13.0825,80.275,India,IN
5,Hyderabad,17.3617,78.4747,India,IN
6,Pune,18.5203,73.8567,India,IN
7,Ahmedabad,23.0225,72.5714,India,IN
8,Surat,21.1702,72.8311,India,IN
9,Lucknow,26.85,80.95,India,IN
10,Jaipur,26.9,75.8,India,IN
11,Kanpur,26.4499,80.3319,India,IN
12,Mirzapur,25.146,82.569,India,IN
13,Nagpur,21.1497,79.0806,India,IN
14,Ghaziabad,28.67,77.42,India,IN
15,Supaul,26.126,86.605,India,IN
16,Vadodara,22.3,73.2,India,IN
17,Rajkot,22.3,70.7833,India,IN
18,Vishakhapatnam,17.7042,83.2978,India,IN
19,Indore,22.7167,75.8472,India,IN
20,Thane,19.1972,72.9722,India,IN
21,Bhopal,23.2599,77.4126,India,IN
22,Pimpri-Chinchwad,18.6186,73.8037,India,IN
23,Patna,25.594,85.1376,India,IN
24,Bilaspur,22.09,82.15,India,IN
25,Ludhiana,30.91,75.85,India,IN
26,Agra,27.18,78.02,India,IN
27,Madurai,9.9252,78.1198,India,IN
28,Jamshedpur,22.7925,86.1842,India,IN
29,Prayagraj,25.4358,81.8464,India,IN
30,Nasik,19.9975,73.7898,India,IN
31,Faridabad,28.4211,77.3078,India,IN
32,Meerut,28.98,77.71,India,IN
33,Jabalpur,23.1667,79.9333,India,IN
34,Kalyan,19.2502,73.1602,India,IN
35,Vasai-Virar,19.3607,72.7956,India,IN
36,Najafgarh,28.6092,76.9798,India,IN
37,Varanasi,25.3189,83.0128,India,IN
38,Srinagar,34.09,74.79,India,IN
39,Aurangabad,19.88,75.32,India,IN
40,Dhanbad,23.7998,86.4305,India,IN
41,Amritsar,31.64,74.86,India,IN
42,Aligarh,27.88,78.08,India,IN
43,Guwahati,26.1722,91.7458,India,IN
44,Haora,22.58,88.3294,India,IN
45,Ranchi,23.36,85.33,India,IN
46,Gwalior,26.2124,78.1772,India,IN
47,Chandigarh,30.75,76.78,India,IN
48,Haldwani,29.22,79.52,India,IN
49,Vijayavada,16.5193,80.6305,India,IN
50,Jodhpur,26.28,73.02,India,IN
51,Raipur,21.2444,81.6306,India,IN
52,Kota,25.18,75.83,India,IN
53,Bhayandar,19.29,72.85,India,IN
54,Loni,28.75,77.28,India,IN
55,Ambattuar,13.1143,80.1548,India,IN
56,Salt Lake City,22.61,88.4,India,IN
57,Bhatpara,22.87,88.41,India,IN
58,Kukatpalli,17.4849,78.4138,India,IN
59,Dasarhalli,13.0465,77.513,India,IN
60,Muzaffarpur,26.1225,85.3906,India,IN
61,Oulgaret,11.957,79.7737,India,IN
62,New Delhi,28.6139,77.2089,India,IN
63,Tiruvottiyur,13.16,80.3,India,IN
64,Puducherry,11.9167,79.8167,India,IN
65,Byatarayanpur,13.0659,77.5922,India,IN
66,Pallavaram,12.9675,80.1491,India,IN
67,Secunderabad,17.4399,78.4983,India,IN
68,Shimla,31.1033,77.1722,India,IN
69,Puri,19.8,85.8167,India,IN
70,Murtazabad,28.7111,77.2688,India,IN
71,Shrirampur,22.75,88.34,India,IN
72,Chandannagar,22.87,88.38,India,IN
73,Sultanpur Mazra,28.6981,77.0689,India,IN
74,Krishnanagar,23.4,88.5,India,IN
75,Barakpur,22.76,88.37,India,IN
76,Bhalswa Jahangirpur,28.7354,77.1638,India,IN
77,Nangloi Jat,28.6833,77.0667,India,IN
78,Balasore,21.5033,86.925,India,IN
79,Dalapura,28.6004,77.3194,India,IN
80,Yelahanka,13.1007,77.5963,India,IN
81,Titagarh,22.74,88.37,India,IN
82,Dam Dam,22.62,88.42,India,IN
83,Bansbaria,22.97,88.4,India,IN
84,Madhavaram,13.1482,80.2314,India,IN
85,Abbigeri,13.0767,77.525,India,IN
86,Baj Baj,22.4828,88.1818,India,IN
87,Garhi,28.6317,77.3186,India,IN
88,Mirpeta,17.32,78.52,India,IN
89,Nerkunram,13.0619,80.2094,India,IN
90,Kendrāparha,20.5,86.42,India,IN
91,Sijua,23.7762,86.3303,India,IN
92,Manali,13.1667,80.2667,India,IN
93,Kankuria,24.6523,87.9604,India,IN
94,Chakapara,22.63,88.35,India,IN
95,Pappakurichchi,10.8137,78.7481,India,IN
96,Herohalli,12.9911,77.4873,India,IN
97,Madipakkam,12.9623,80.1986,India,IN
98,Sabalpur,25.6053,85.1835,India,IN
99,Bāuria,22.4521,88.1853,India,IN
100,Salua,22.61,88.27,India,IN
101,Chik Bānavar,13.0846,77.5014,India,IN
102,Jālhalli,13.0333,77.55,India,IN
103,Chinnasekkadu,13.1609,80.2573,India,IN
104,Jethuli,25.5378,85.2841,India,IN
105,Nagtala,22.4667,88.3833,India,IN
106,Pakri,25.5876,85.158,India,IN
107,Hunasamaranhalli,13.1435,77.62,India,IN
108,Hesarghatta,13.1391,77.4783,India,IN
109,Bommayapālaiyam,11.9922,79.8499,India,IN
